LocationFromNERflair,policereport_id
Friedrich-Stampfer-Straße,116
Wilhelmstraße,116
Dessauer Straße,116
Kreuzberg,116
Walldürner Weg,117
Hakenfelder Straße,117
Hakenfelde,117
Am Forstacker,117
Berlin,117
Rathausstraße,118
Mariendorf,118
Kreuzberg,119
Skalitzer Straße,119
Oranienstraße,119
Heinrichplatz,119
Rosenthal,121
Rudow,122
Kanalstraße,122
Zehlendorf,123
Salzachstraße,123
Prenzlauer Berg,124
Schönfließer Straße,124
Driesener Straße,124
Falkenhagener Feld,125
Alexanderstraße,126
Rahnsdorf,127
Fürstenwalder Allee,127
Seestraße,128
Friedrichshagen,129
Spandau,130
Kreuzberg,131
Manteuffelstraße,131
Osloer Straße,132
Bösebrücke,132
Prinzenallee,132
Prenzlauer Berg,133
Wichertstraße,133
Prenzlauer Allee,133
Frankfurter Allee,134
Bucher Straße,135
Französisch Buchholz,135
Pankgrafenstraße,135
Deutschland,135
Celsiusstraße,136
Lichterfelde,136
Gropiusstadt,137
Französisch Buchholz,138
Triftstraße,138
Friedrichshain,139
Kreuzberg,139
Oranienstraße,139
Richard-Sorge-Straße,139
Kreuzberg,140
Reinickendorf,141
Emmentaler Straße,141
Klemkestraße,141
Westend,142
Friedrichsfelde,143
Dolgenseestraße,143
Mollstraße,144
Tieckstraße,144
Berlin,144
Kreuzberg,144
Schöneberg,144
Hannover,144
Krefelder Straße,144
Hildburghauser Straße,145
Marienfelde,145
Staaken,146
Maulbeerallee,146
Obstallee,146
Seeburger Weg,146
Tiergarten,148
Berlin,148
Arkenberge,148
Saatwinkler Damm,149
Tegel,149
Reinickendorf,149
A 111,149
Dorotheen-straße,150
Von-der-Gablenz-Straße,150
Guineastraße,150
Tiergarten,150
Großer Stern,150
Kurt-Schumacher-Platz,150
Auguste-Viktoria-Allee,150
Wilhelmstraße,150
Potsdamer Platz,150
Yitzhak-Rabin-Straße,150
Rathenower Straße,150
Pariser Platz,150
Belowstraße,150
Paulstraße,150
Stromstraße,150
Lütticher Straße,150
Turmstraße,150
Behrenstraße,150
Kleinen Stern,150
Ollenhauer Straße,150
Berlin,150
Brüsseler Straße,150
Berenhorststraße,150
Alt-Moabit,150
Zobeltitzstraße,150
Putlitzbrücke,150
Transvaalstraße,150
Heinrich-von-Gagern-Straße,150
Togostraße,150
Föhrerstraße,150
Spreeweg,150
Bellevue,150
Amrumer Straße,150
Scharnweberstraße,150
Afrikanische Straße,150
John-Foster-Dulles-Allee,150
Carl-von-Ossietzky-Park,150
Unter den Linden,150
Dorotheenstraße,150
Brandenburger Tor,150
Kurt-Schumacher-Damm,150
Müllerstraße,150
Ebertstraße,150
Scheidemannstraße,150
Kielufer,152
Wildenbruchstraße,152
Neukölln,152
Heilbronner Straße,153
Tegel,154
Tiergarten,155
Krausenstraße,156
Markgrafenstraße,156
Panoramastraße,157
Kreuzberg,158
Dieffenbachstraße,158
Huttenstraße,159
Tiergarten,159
Turm,159
Stromstraße,159
Turmstraße,159
Rot,159
Martinshorn,159
Perleberger Straße,159
Wilmersdorf,160
Uhlandstraße,160
Kaiser-Wilhelm-Straße,161
Lankwitz,161
Eichhornstraße,162
Tiergarten,162
Potsdamer Straße,162
Scharounstraße,162
Brandenburg,163
Lichtenberg,163
Straußberg,163
Pankow,163
Landsberger Allee,164
Marzahn,164
Neukölln,165
Neuköllner Straße,166
Zwickauer Damm,166
Stubenrauchstraße,166
Kreuzberg,167
Oranienstraße,167
Kurfürstendamm,168
Charlottenburg,168
Pätzer Straße,169
Neukölln,169
Märkisches Viertel,170
Wilhelmsruher Damm,170
Neukölln,171
Fuldastraße,171
Panoramastraße,172
Alt-Hohenschönhausen,173
Liebenwalder Straße,173
Heiligenstadter Straße,173
RAW - Geländes,174
Revaler Straße,174
Warschauer Straße,174
Friedrichshain-Kreuzberg,174
Barnim,175
A 10,175
Pankow,175
Friedrichshain,176
Annemirl-Bauer-Platz,176
